order_id,state,courier,shipped_date,delivered_date,delay_days,hub_location,complaint
MY100079,Melaka,Poslaju,2025-01-22,2025-01-24,0,JB Hub,No
MY100080,Pahang,DHL eCommerce,2025-01-16,2025-01-23,5,Shah Alam Hub,Yes
MY100081,Negeri Sembilan,J&T,2025-01-27,2025-02-01,3,Batu Caves Hub,Yes
MY100082,Kuala Lumpur,DHL eCommerce,2025-01-04,2025-01-13,7,Ipoh Hub,Yes
MY100083,Sabah,Poslaju,2025-01-11,2025-01-20,7,Kota Bharu Hub,Yes
MY100084,Terengganu,Shopee Express,2025-01-17,2025-01-26,7,JB Hub,Yes
MY100085,Terengganu,Poslaju,2025-01-26,2025-01-29,1,JB Hub,No
MY100086,Kuala Lumpur,Shopee Express,2025-01-27,2025-01-30,1,JB Hub,No
MY100087,Melaka,NinjaVan,2025-01-10,2025-01-12,0,Ipoh Hub,No
MY100088,Kuala Lumpur,Shopee Express,2025-01-07,2025-01-12,3,JB Hub,Yes
MY100089,Sarawak,DHL eCommerce,2025-01-31,2025-02-09,7,Shah Alam Hub,Yes
MY100090,Kedah,DHL eCommerce,2025-01-17,2025-01-21,2,KL Gateway Hub,No
MY100091,Sarawak,Poslaju,2025-01-25,2025-01-28,1,Ipoh Hub,No
MY100092,Penang,NinjaVan,2025-01-28,2025-01-31,1,Ipoh Hub,No
MY100093,Terengganu,DHL eCommerce,2025-01-31,2025-02-06,4,Melaka Hub,Yes
MY100094,Perak,DHL eCommerce,2025-01-19,2025-01-21,0,Puchong Hub,No
MY100095,Johor,NinjaVan,2025-01-24,2025-01-30,4,Batu Caves Hub,Yes
MY100096,Sabah,NinjaVan,2025-01-31,2025-02-05,3,KL Gateway Hub,Yes
MY100097,Pahang,Poslaju,2025-01-30,2025-02-04,3,Penang Hub,Yes
MY100098,Sabah,J&T,2025-01-14,2025-01-21,5,Puchong Hub,Yes
MY100099,Negeri Sembilan,J&T,2025-01-31,2025-02-02,0,Ipoh Hub,No
